feature_set,strategy,scenario,repetition,outer_seed,fold,category,training_count,test_count,q1,q2,minimum_required,adequate,kmeans_seed
strict6,Training-fold AFP quantiles,Quantile,1,10,1,Small,152,22.0,134.0,319.9999999999998,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,1,Medium,147,11.0,134.0,319.9999999999998,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,1,Large,150,17.0,134.0,319.9999999999998,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,1,Small,152,22.0,134.0,319.9999999999998,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,1,Medium,147,11.0,134.0,319.9999999999998,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,1,Large,150,17.0,134.0,319.9999999999998,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,1,Small,418,,,,30,False,1597212421.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,1,Large,1,,,,30,False,1597212421.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,1,Medium,30,,,,30,False,1597212421.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,1,Large,2,,,,30,False,418583814.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,1,Small,402,,,,30,False,418583814.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,1,Medium,45,,,,30,False,418583814.0
strict6,Training-fold AFP quantiles,Quantile,1,10,2,Small,150,19.0,132.33333333333331,323.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,2,Medium,149,17.0,132.33333333333331,323.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,2,Large,150,14.0,132.33333333333331,323.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,2,Small,150,19.0,132.33333333333331,323.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,2,Medium,149,17.0,132.33333333333331,323.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,2,Large,150,14.0,132.33333333333331,323.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,2,Small,394,,,,30,False,3885229075.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,2,Large,1,,,,30,False,3885229075.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,2,Medium,54,,,,30,False,3885229075.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,2,Small,396,,,,30,False,871049065.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,2,Medium,52,,,,30,False,871049065.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,2,Large,1,,,,30,False,871049065.0
strict6,Training-fold AFP quantiles,Quantile,1,10,3,Small,150,16.0,131.33333333333331,310.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,3,Medium,149,15.0,131.33333333333331,310.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,3,Large,150,19.0,131.33333333333331,310.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,3,Small,150,16.0,131.33333333333331,310.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,3,Medium,149,15.0,131.33333333333331,310.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,3,Large,150,19.0,131.33333333333331,310.33333333333326,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,3,Small,384,,,,30,False,238982071.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,3,Medium,55,,,,30,False,238982071.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,3,Large,10,,,,30,False,238982071.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,3,Small,399,,,,30,False,387686563.0
