context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
scale_nested_et|strict6|Global|1|1|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2498.5404803558645,1336379749.0,341186639,1130149065.0
scale_nested_et|strict6|Global + MI|1|1|All,extra_trees,449,AFP;Enquiry;File,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2527.073420745283,862712854.0,2161478871,3271572321.0
scale_nested_et|strict6|Quantile|1|1|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",778.6351431397517,2757829953.0,3204406097,3030380587.0
scale_nested_et|strict6|Quantile|1|1|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}",1640.0975554440513,3428898731.0,3621989924,393330390.0
scale_nested_et|strict6|Quantile|1|1|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",5130.401356028292,3175168155.0,4081139905,7064724.0
scale_nested_et|strict6|Quantile + MI|1|1|Small,extra_trees,152,AFP;Enquiry;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",777.1110172531666,2384192479.0,4053626598,2034973629.0
scale_nested_et|strict6|Quantile + MI|1|1|Medium,extra_trees,147,AFP;Output;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",1629.1992590398738,907385213.0,3987966528,4002488758.0
scale_nested_et|strict6|Quantile + MI|1|1|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",4988.489294114722,643393622.0,3556747783,1350346586.0
benchmark|strict6|random_forest|1|1|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",2431.531714664727,2315370713.0,2657319366,1375306776.0
benchmark|strict6|xgboost|1|1|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",2666.0193126849713,2062248104.0,3666460443,265295491.0
benchmark|strict6|lightgbm|1|1|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8}",2668.594389137624,527706949.0,3964272402,537292969.0
benchmark|strict6|stacking|1|1|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 2213298388, ""stack_cv_splits"": 5}",,,2213298388,
scale_nested_et|strict6|Global|1|2|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 300}",2696.5474697389504,167777914.0,298583125,312926484.0
scale_nested_et|strict6|Global + MI|1|2|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",2769.4198100418653,21878297.0,1322584970,2868054741.0
scale_nested_et|strict6|Quantile|1|2|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",835.9527405618043,2762926206.0,2740182787,3183589901.0
scale_nested_et|strict6|Quantile|1|2|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}",1622.571073449739,306379616.0,3243875853,3954098540.0
scale_nested_et|strict6|Quantile|1|2|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 500}",5736.220133643404,2632491078.0,23773132,3982203886.0
scale_nested_et|strict6|Quantile + MI|1|2|Small,extra_trees,150,AFP;Output;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",815.6688408637006,2512876393.0,2531739038,253133960.0
scale_nested_et|strict6|Quantile + MI|1|2|Medium,extra_trees,149,AFP;Input;Output,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",1593.9089386350824,3300949225.0,2813722617,2110911485.0
