family,feature_set,method,metric,estimate_full_precision,ci_2_5,ci_97_5,bootstrap_replicates
benchmark,strict6,LightGBM,MAE,2740.09970664178,2369.3988608851,3143.18061106636,5000
benchmark,strict6,LightGBM,RMSE,5185.08811460216,4245.72165398336,6124.47206019714,5000
benchmark,strict6,LightGBM,Pred25,20.4809619238477,17.5541082164329,23.4468937875752,5000
benchmark,strict6,LightGBM,R2,0.358615005726646,0.198359329595062,0.467300857584295,5000
benchmark,strict6,Random Forest,MAE,2665.6787346985,2303.19852169337,3051.26162883521,5000
benchmark,strict6,Random Forest,RMSE,4980.76323092396,4071.96452144003,5910.2621056889,5000
benchmark,strict6,Random Forest,Pred25,19.2785571142285,16.2324649298597,22.5260521042084,5000
benchmark,strict6,Random Forest,R2,0.408168185497714,0.270111746091522,0.503908975767729,5000
benchmark,strict6,Stacking (RF + ET + XGB),MAE,2745.90959327823,2382.03511663858,3140.71955128932,5000
benchmark,strict6,Stacking (RF + ET + XGB),RMSE,5115.1319409888,4209.82733713157,6041.17988602361,5000
benchmark,strict6,Stacking (RF + ET + XGB),Pred25,18.1963927855711,15.5110220440882,20.9629258517034,5000
benchmark,strict6,Stacking (RF + ET + XGB),R2,0.37580513183899,0.237433315348386,0.467987184715304,5000
benchmark,strict6,Training-median dummy,MAE,3116.42965931864,2603.95065631263,3664.61323647295,5000
benchmark,strict6,Training-median dummy,RMSE,6801.68353350698,5338.89224389734,8162.77909267204,5000
benchmark,strict6,Training-median dummy,Pred25,15.1102204408818,12.064128256513,18.0370741482966,5000
benchmark,strict6,Training-median dummy,R2,-0.103670299368953,-0.135982224298566,-0.0765569487470367,5000
benchmark,strict6,Tuned Extra Trees,MAE,2670.71020733667,2310.3210886,3058.06930243697,5000
benchmark,strict6,Tuned Extra Trees,RMSE,4963.90577808419,4049.16691392054,5889.44739163938,5000
benchmark,strict6,Tuned Extra Trees,Pred25,18.7575150300601,15.6713426853707,22.0040080160321,5000
benchmark,strict6,Tuned Extra Trees,R2,0.412167529847078,0.289863017711555,0.497148110278687,5000
benchmark,strict6,XGBoost,MAE,2713.13596174282,2337.51816738824,3115.73487539593,5000
benchmark,strict6,XGBoost,RMSE,5197.75279908053,4233.73089267063,6192.45833793747,5000
benchmark,strict6,XGBoost,Pred25,19.0380761523046,16.1523046092184,22.0050100200401,5000
benchmark,strict6,XGBoost,R2,0.355477987174889,0.210924392885349,0.456082687544686,5000
scale_fixed_et_sensitivity,leaky14,Global,MAE,377.029388920723,278.560420326781,492.669048257309,5000
scale_fixed_et_sensitivity,leaky14,Global,RMSE,1325.54210453915,678.35875968422,1899.26914216679,5000
scale_fixed_et_sensitivity,leaky14,Global,Pred25,97.5551102204409,96.1523046092184,98.7575150300601,5000
scale_fixed_et_sensitivity,leaky14,Global,R2,0.958082674289728,0.930572070303977,0.984939587504031,5000
scale_fixed_et_sensitivity,strict6,Global,MAE,2753.78517733814,2383.93528023631,3149.50567980527,5000
scale_fixed_et_sensitivity,strict6,Global,RMSE,5130.55660169356,4225.92992526368,6053.94043283285,5000
scale_fixed_et_sensitivity,strict6,Global,Pred25,18.7575150300601,15.6312625250501,21.9649298597194,5000
