context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
scale_nested_et|strict6|Global|1|1|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2498.54048035586,1336379749,341186639,1130149065
scale_nested_et|strict6|Global + MI|1|1|All,extra_trees,449,AFP;Enquiry;File,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2527.07342074528,862712854,2161478871,3271572321
scale_nested_et|strict6|Quantile|1|1|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",778.635143139752,2757829953,3204406097,3030380587
scale_nested_et|strict6|Quantile|1|1|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}",1640.09755544405,3428898731,3621989924,393330390
scale_nested_et|strict6|Quantile|1|1|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",5130.40135602829,3175168155,4081139905,7064724
scale_nested_et|strict6|Quantile + MI|1|1|Small,extra_trees,152,AFP;Enquiry;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",777.111017253167,2384192479,4053626598,2034973629
scale_nested_et|strict6|Quantile + MI|1|1|Medium,extra_trees,147,AFP;Output;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",1629.19925903987,907385213,3987966528,4002488758
scale_nested_et|strict6|Quantile + MI|1|1|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",4988.48929411472,643393622,3556747783,1350346586
benchmark|strict6|random_forest|1|1|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",2431.53171466473,2315370713,2657319366,1375306776
benchmark|strict6|xgboost|1|1|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",2666.01931268497,2062248104,3666460443,265295491
benchmark|strict6|lightgbm|1|1|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8}",2668.59438913762,527706949,3964272402,537292969
benchmark|strict6|stacking|1|1|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 2213298388, ""stack_cv_splits"": 5}",,,2213298388,
scale_nested_et|strict6|Global|1|2|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 300}",2696.54746973895,167777914,298583125,312926484
scale_nested_et|strict6|Global + MI|1|2|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",2769.41981004187,21878297,1322584970,2868054741
scale_nested_et|strict6|Quantile|1|2|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",835.952740561804,2762926206,2740182787,3183589901
scale_nested_et|strict6|Quantile|1|2|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}",1622.57107344974,306379616,3243875853,3954098540
scale_nested_et|strict6|Quantile|1|2|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 500}",5736.2201336434,2632491078,23773132,3982203886
scale_nested_et|strict6|Quantile + MI|1|2|Small,extra_trees,150,AFP;Output;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",815.668840863701,2512876393,2531739038,253133960
scale_nested_et|strict6|Quantile + MI|1|2|Medium,extra_trees,149,AFP;Input;Output,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",1593.90893863508,3300949225,2813722617,2110911485
scale_nested_et|strict6|Quantile + MI|1|2|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",5531.71103783649,134466900,787582903,805557356
benchmark|strict6|random_forest|1|2|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",2721.13450532115,666781297,3504133979,3465973854
benchmark|strict6|xgboost|1|2|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",2771.53574846306,2290190939,3569917416,3324938670
benchmark|strict6|lightgbm|1|2|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 7, ""reg_lambda"": 1.0, ""subsample"": 0.8}",2897.88018777259,3106082209,629673298,1138114341
benchmark|strict6|stacking|1|2|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 3485386553, ""stack_cv_splits"": 5}",,,3485386553,
scale_nested_et|strict6|Global|1|3|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",2637.22829151341,45304957,857120798,3891744821
scale_nested_et|strict6|Global + MI|1|3|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",2559.01435083393,3175355050,28935069,369243724
scale_nested_et|strict6|Quantile|1|3|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",754.324799030901,283664799,3122277179,1124424910
scale_nested_et|strict6|Quantile|1|3|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",1656.93380140331,14269227,2489035687,279363642
scale_nested_et|strict6|Quantile|1|3|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",5367.24848152597,3408211212,2267600285,481480750
scale_nested_et|strict6|Quantile + MI|1|3|Small,extra_trees,150,Output;Enquiry;File,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",808.513979413907,3090310875,1410249231,935928003
